ageGroup	meanLinearScore	totalVotes	stdDevLinear
20-29	47.40328253223915	1619	0.2727760506312077
30-39	51.689189189189186	584	0.1588747402190536
40-49	36.648745519713266	339	0.03677821790463384
50-59	40.816326530612244	98	
60+	31.318681318681318	92	
<20	22.053872053872052	187	

--- Top 10 Most Offensive Phrases ---
Phrase:	@DerekBradPhoto @Eurosport_IT ma vai a fare in culo Derek
Offensivity Score:	93.75%	Std Dev:	0.50%

Phrase:	@ceciliasala Ma vai a prenderlo nel culo cessa BASTARDA
Offensivity Score:	92.19%	Std Dev:	0.51%

Phrase:	@gigipodda Per me borca maceria puoi anche andare a fare in culo al tuo paese Apu ….
Offensivity Score:	91.18%	Std Dev:	0.53%

Phrase:	@acmilan Andate a fare in culo, avete rovinato tutto.
Offensivity Score:	89.71%	Std Dev:	0.53%

Phrase:	@LaStampa Zecche rosse dovete andare a stroncarvelo in culo 🖕
Offensivity Score:	88.33%	Std Dev:	0.56%

Phrase:	@lele_Bertea @repubblica Lo dici tu che xe tuo figlio. Sappi che non sono gli ebrei che han decapitato le teste dei bambini e tenuto in ostaggi gente al buio per 18 mesi. Faccia da culo pascola cammelli...
Offensivity Score:	87.50%	Std Dev:	0.68%

Phrase:	@Milly90457339 @drinkthiscola E improvvisamente decidi tu cosa sogna helena,vai a fare in culo
Offensivity Score:	85.94%	Std Dev:	0.58%

Phrase:	@TgLa7 Comunista pedofilo. Tu sei il primo migrante da spedire a calci nel culo all’inferno. Cane
Offensivity Score:	83.33%	Std Dev:	0.69%

Phrase:	@Agenzia_Ansa che potete mettervi nel culo
Offensivity Score:	83.33%	Std Dev:	0.69%

Phrase:	@linusna_lino @LuxTerna88 @realvarriale @sscnapoli @Atalanta_BC A fine anno come sempre lo prenderete in culo,3 scudetti nella vostra storia di merda e vi credete buoni anche.Basta vedere la monnezza che tifa Napoli che gente è che cervello ha
Offensivity Score:	83.33%	Std Dev:	0.72%

