phrase	stdDevBinary
Mi sono fatto un culo così per finire questo progetto in tempo.	0.8911526997789809
Non girare il culo agli amici quando hai successo!	0.7233128053790095
Ci metterò il culo per raggiungere i miei obiettivi.	0.7065282104001465
Mi sono seduto tutto il giorno e ora ho il culo a pezzi!	0.6670250121939049
Non aspettarti di risolvere tutto col culo: ci vuole anche impegno.	0.6397945981992491
Ho avuto una giornata pesante e sono pronto a mandare tutti a fanculo.	0.6271721643975668
Hai avuto proprio un colpo di culo a vincere quella lotteria!	0.5475544179352761
Se continui a fare così, la gente finirà per mandarti a fanculo senza pensarci due volte.	0.48065123467383364
Non puoi aspettarti che tutto cada dal cielo... serve testa e culo.	0.46157923612182866
Ho lavorato sodo, ma anche un po' di culo non guasta mai.	0.2449489742783178
