phrase	sumWorst	sumTotal	p_total	stdDevAggregated
@Ca_ilmitico @AndyMontany @Nessuno69378233 Tu hai il senso dell'umorismo di un carciofo in culo.	14	28	0.5	1.0
Del presenziare di Giorgia Meloni all’insediamento di Trump apprezzo il bruciore di culo di Ursula von der Leyen.	15	31	0.4838709677419355	0.9994795732148173
@simo_damy Un calcio nel.culo si meritano	14	31	0.45161290322580644	0.9953063626155814
"@JohnTuld1 @nmartinelli @luckymia3 @marattin La ""remigrazione"", siete fantastici. Retorica a gogò, la storia vi ha già preso a calci nel culo innumerevoli volte ma a voi piace quella sensazione di delirio onnipotente basato sul nulla. Poveracci."	12	27	0.4444444444444444	0.9938079899999065
@lazoth24 @HuffPostItalia Non se trovano più pomate per il bruciore al deretano. Tutti i sx hanno effettuato compere sproporzionate e approvvigionamenti in quantità enormi, hanno il fuoco al culo	13	30	0.43333333333333335	0.9910712498212337
@TELADOIOLANIUS è tipico dei comunisti fare gli splendidi con l'accoglienza degli immigrati (ma non nel mio giardino) oppure fare i gay con il culo degli altri.	17	30	0.5666666666666667	0.9910712498212337
Ora vi direi chiaramente IN CULO a chi diceva che l'intervista poteva essere cringe da settimane, voi siete cringe, baci ❤️	16	28	0.5714285714285714	0.989743318610787
@sunstateofmind_ Poveraccia poveraccia nana che sa solo allargare le gambe e alzare il culo quello è il lavoro di Sheila Stefania ha paura di te tu devi mangiare tanto pane ma tanto per arrivare al suo livello quello che ha fatto Stefania nella vita e non ci arrivi nemmeno 😂😂😂😂😂	19	33	0.5757575757575758	0.9884549351697024
@SFra87 State sempre ha parla de shaila e lollo ma quanto ve brucia er culo	11	26	0.4230769230769231	0.9880948137434714
non ho appena letto che maria ama il bruttone per mezzo abbraccio ( a lui statava per cadere la lingua a furia di leccarle il culo)	11	26	0.4230769230769231	0.9880948137434714
@SissyGandia Come inizio non è male , si inizia con un pompino 💋🍌 x poi passare al 🍑 x farti godere 🍌 e x finire venire sul culo 🍌🍑💦💦💦	18	31	0.5806451612903226	0.9869070026308616
@LegaSalvini Si certo con la catenina della bici… siete un branco di cialtroni pagliacci incompetenti dannosi con il capitone degno rappresentante di questa feccia, potete prendere per il culo solo quei quattro trogloditi che ancora vi votano	12	29	0.41379310344827586	0.9850246108334966
Ciro che si sente la merda nelle mutande e voleva rientrare nelle grazie mariane leccandole il culo mi fa così ridere 💀😂 #uominiedonne	12	29	0.41379310344827586	0.9850246108334966
Ai papponi del 'pharma' non voglio dire niente (tra l'altro la farmaceutica non è l'unica che funziona così. Armamenti, infrastrutture ecc sono IDENTICI).. Però ci vuole una bella faccia come il culo a far pubblicare la propria faccia/nome così senza querelare la testata	17	29	0.5862068965517241	0.9850246108334966
Ma quando incontrate poi che non avete il photoshopp per ritoccarvo cazzo e culo? PATETICO	12	29	0.41379310344827586	0.9850246108334966
@StarsDancer21 No ha la scopa di quidditch in culo	16	27	0.5925925925925926	0.9827036415867851
MA È PAZZO IN CULO	16	27	0.5925925925925926	0.9827036415867851
@Latlantista @CarloBolognesi1 Questo è un articolo di Jeffrey Sachs uno dei migliori analisti americani prof ad Harvard e precedentemente alla Columbia, che spiega il colpo di stato e le interferenze della CIA in Ucraina. Ma chi pensate di prendere per il culo bambocci	13	32	0.40625	0.982264602843857
@HuffPostItalia Ringraziamenti… E come pretendere una serenata da un buco di culo	10	26	0.38461538461538464	0.9730085108210398
l’abbraccio tra martina e ciro ha già distrutto le supposizioni malate delle coatters sicure che maria sapesse qualcosa di più TUTTO NEL CULO💜	16	26	0.6153846153846154	0.9730085108210398
@UccellinoMilan Un altro che merita un calcio nel culo per aver convertito un progetto che il Milan aveva bisogno di far crescere a lungo termine nel suo club di amici. Kirovski non manca ai tifosi dei LA Galaxy, tutti lo ricordano come un fiasco.	10	26	0.38461538461538464	0.9730085108210398
@bagnotrash Per carità 🤣 se già non si guarda adesso ancora meno...e chi la regge gatta in calore che muove il culo 5 balletti? Ma una ballerina capace si poteva mettere anziché pescare tra le nullità. Andare coi vecchi rende però 😂	18	29	0.6206896551724138	0.9704308468600199
@Erfaina1988 Non sai piu come leccargli il culo	11	29	0.3793103448275862	0.9704308468600199
@ValeReinstated Non ha sparato merda, mi sa che ti rode solo perché non gli ha leccato il culo…..	11	30	0.36666666666666664	0.9637888196533972
@AgataMirone @borghi_claudio col culo.scusi	9	25	0.36	0.96
È la terza volta di fila che questa mi dà buca e la seconda che lo fa senza avvisare io non ne posso più di perdere tempo per la gente scema in culo	18	28	0.6428571428571429	0.9583148474999098
dopo 2 esterne mi piaci e come la sta prendendo per il culo diooo https://t.co/U0QvjlLJea	10	28	0.35714285714285715	0.9583148474999098
@SofiaG4brielly Quanto vorrei che mi sborrassi nel culo 🍆💦💦💦🍑	20	31	0.6451612903225806	0.9569288370446016
@LegaSalvini Sese mentre giocate lo buttate al culo al popolo , come sempre la politicahhh	20	31	0.6451612903225806	0.9569288370446016
@mauriziolosavio @AzzurraBarbuto @GiorgiaMeloni Ahahahah ora è stata l'Europa a spingere la meloni da Trump? Che facce da culo che avete 🤣🤣🤣🤣🤣🤣	22	33	0.6666666666666666	0.9428090415820634
@chetempochefa pensa quanto vi roderà il culo, e quando vi passa. Idioti. Non sono i nuovi padroni del mondo, sono i vecchi perchè non sono arrivati oggi. Solo che adesso si sono schierati, uno ad uno, dall'altra parte della storia, per rifarla. E voi siete fuori. https://t.co/md9yS7Yx3w	10	30	0.3333333333333333	0.9428090415820634
@Frenko00 Godere per le sconfitte altrui come lo chiami? Se il vostro sfottò è aver perso una finale di coppa UEFA, sfotteteci quanto Ve pare... Che è come se prendessi per culo uno che tromba mentre te stai a fatte le pippette♥️ con Bernabè in prima fila	10	30	0.3333333333333333	0.9428090415820634
il palo in culo che aveva gianni in questa puntata #uominiedonne	19	28	0.6785714285714286	0.9340497736158586
"twitter in mano a musk, zucchina che afferma sia tempo di ""energia maschile"" nelle sue app, tiktok che si china e lecca il culo a trump... letteralmente ognuno dei social principali diventerà una macchina di propaganda di destra e fascista https://t.co/ROIntYKfKh"	10	32	0.3125	0.9270248108869579
@matteorenzi Il tuo problema caro bomba, è che tutto gira intorno al tuo culo !! È questa la differenza !!!	9	29	0.3103448275862069	0.9252695079309475
urlavano al complotto ed oggi vediamo questa scena di mdf con Ciro ma vedete che vi torna tutto in culo	18	26	0.6923076923076923	0.9230769230769231
#BB26 Com’era? tommaso fa le ronde? 😭 Il karma è un concetto reale ragazz e il karma vi sta tornando piano piano tutto in culo 💋 #tommavi #grandefratello #sg478 https://t.co/iExIl3w4ZS	21	30	0.7	0.9165151389911681
@SimonLevyMx Un account probabilmente pagato per scrivere elogi senza fondamento a una politica che ha preso per il culo tutti i suoi elettori. La vergogna fatta account	9	30	0.3	0.916515138991168
@Antonio26918875 @GrazieAr In culo a te Alfonso e Javier sono il loro rapporto quello che non saprà mai lo sporco	19	27	0.7037037037037037	0.9132465189583668
"@Mirkoktm890 @winxinpensione L'unico ""purosangue"" che conosco è quello che ho sotto al culo 😉😂😂😂 voi siete solo una (piccola) manica di cialtroni, ignorati, che nessuno ha mai considerato allora, figuriamoci oggi 🙈😂 https://t.co/lXByPc1FIZ"	7	24	0.2916666666666667	0.9090593428863095
Gianmarco coerente con il percorso fatto e non lecca il culo a martina, al contrario di Ciro che farà la dichiarazione da bimbo minchia recitata male✨✨✨	9	31	0.2903225806451613	0.9078224051271154
@5thstellium @stregheIIa I siti del ministero sono fatti col culo quello delle navi è gia un po piu difficile e fa CV 😂	9	31	0.2903225806451613	0.9078224051271154
#shailenzo state ascoltando Bernardo? ve l ha messa nel culo un altra volta https://t.co/9czVQgk53v	22	31	0.7096774193548387	0.9078224051271153
@Agenzia_Ansa Ennesimo giusto motivo per mandare a fare in culo la UE	21	29	0.7241379310344828	0.8938952687459117
@blvesocks lo so volevo prenderti per il culo	8	29	0.27586206896551724	0.8938952687459117
@TennisPuneet Per mettertelo dritto dritto nel culo	21	29	0.7241379310344828	0.8938952687459117
dove stanno ora quelle che gridavano al complotto? cristo dio come vi torna sempre tutto su per il culo	24	33	0.7272727272727273	0.8907235428302466
@Orihuela_CF nononono a tomar x culo todo	19	26	0.7307692307692307	0.8871201995900613
tutto in culo vi torna 😂🖕🏻 #heleners #zelena #helevier https://t.co/8w6KnIeDEn	22	30	0.7333333333333333	0.8844332774281067
@GieffeVip10 @GrandeFratello Ma sto pezzo di merda quando lo mandate a casa a calci nel culo? #alfonsosignorini #beatriceluzzi. Unica nostra arma è non guardare la puntata!!! Facciamolo uscire presto!!	22	30	0.7333333333333333	0.8844332774281067
@Sergrobmad @JanJan00287198 @rimmingbubble @GreedyRimmer @HDiscretas @GreatMaleAss @Funny_MXXX @phyllanthus Rico culo uff	6	23	0.2608695652173913	0.8782178207271372
@pietrom79 @Zizzi1952 @dariodangelo91 La ruZZia non ha già più uomini, altrimenti non si vendeva una fetta di culo a ciccio-Kim. E l'economia non arriva alla fine di quest'anno, soprattutto se UA colpisce sul serio raffinerie e terminali petrolio. Aggiungi stop bagnarole dal baltico e per ferragosto ha le pezze al...	7	27	0.25925925925925924	0.876456264162906
@gigipodda ma che faccia da culo	23	31	0.7419354838709677	0.8751393526613249
@laura69rey69 Laura gran bel culo stupendo 💦💦💦💦	8	31	0.25806451612903225	0.8751393526613249
@USIGRai @FnsiSocial @vditrapani @serenabortone3 @SigfridoRanucci @efjeurope @MediaFreedomEU @Stampa_Estera @RaiNews @francesco_musi @LauraPepeHdz @barbiedifresco @paolopetrecca1 @aless_marchetti @dario_marchetti @GMartelloni @g_sangiuliano @Quirinale @RaiNews @dbendicenti Guarda che si vedeva @FidanzaCarlo Che ti usava come un burattino Infilandoti una mano nel culo	23	31	0.7419354838709677	0.8751393526613249
Mi sbaglierò(ma non credo)la maggior parte delle persone da la cacca e non si lava il culo...schifo unicooooo	8	33	0.24242424242424243	0.8570991287109667
Come invidio gli americani che hanno come capo di stato un uomo che si è fatto il mazzo lavorando e arricchendosi per decenni e non un raccomando cronico con il culo al caldo solo perché gli hanno accoppato il fratello	7	29	0.2413793103448276	0.8558395617924729
